Unnamed: 0,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
31,Green Suede Pants,1.0,,,,,,,1,,8,2.0,,,,,,,,,,,,12/23/2019,4,Goodwill,Secondhand,,,pants,,,straight leg,Bottoms
32,Red Silk Pants,,2.0,,,,,,,,3,1.0,,,,,,,,,,,,12/23/2019,4,Goodwill,Secondhand,,,pants,,,wide leg,Bottoms
33,Orange Shorts,,,,,,,,,,,,,,,2.0,,,2.0,,,,,1/1/2017,25,Express,Fast Fashion,,,shorts,,,,Bottoms
34,Green Old Navy Shorts,,,,,,,,,,,,,,,1.0,,,,,,,,1/1/2015,20,Old Navy,Fast Fashion,,,shorts,,,,Bottoms
0,Blue Pullover Sweater,,,,,,,1,,2,,,,,1.0,,,,,,,1.0,,12/1/2017,0,Brian,Hand-me-down,,,sweater,long sleeve,,,Outerwear
1,Beige Cable Knit Sweater,2.0,,,,,,,,,,,,,,,,,,,,,,10/22/2020,10,Plato's Closet,Secondhand,,,sweater,long sleeve,,,Outerwear
2,Cream Knit Crop Sweater,3.0,1.0,,,,,,,,2,,1.0,2.0,,,,,,,1.0,,1.0,12/1/2014,10,Nordstrom Rack,Fast Fashion,,,sweater,long sleeve,,,Outerwear
3,Purple and Orange Mockneck Sweater,5.0,,,,,,,,,,,,,,,,,,,,,,10/22/2020,10,Plato's Closet,Secondhand,,,sweater,long sleeve,,,Outerwear
4,Cream Cardigan,,1.0,,,,2.0,2,4,3,6,2.0,,,,,,,,,,,,11/28/2019,39,Synergy Organic,Slow Fashion,,,cardigan ,long sleeve,,,Outerwear
5,Pink and Red Reversible Haori,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,6/26/2020,75,Matter Prints,Slow Fashion,,,cardigan,mid sleeve,,,Outerwear
6,Grey Cardigan,1.0,1.0,,,,1.0,,1,5,2,5.0,14.0,2.0,,,,,,,,,,10/28/2019,42,TheRealReal/Theory,Secondhand,,,cardigan,long sleeve,,,Outerwear
7,Grey Heather Blazer Sweater,,,,,,,,,1,1,1.0,5.0,4.0,,,,,,2.0,2.0,1.0,1.0,5/14/2016,0,Express,Gift,,,sweater,long sleeve,,,Outerwear
8,Tapestry Jacket,1.0,2.0,,,,,,,,,,,,,,,,,,,,,9/4/20,16,Rumors,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
9,Black Blazer,,,,,,1.0,1,1,3,4,5.0,,,,,,,,,,,,12/5/19,103,Athleta,Slow Fashion,,,blazer,long sleeve,,,Outerwear
10,Black Pleather and Mesh Blazer ,1.0,,,,,,,,,,,,,,,,,,,,,,8/10/20,3,Rachel ,Secondhand ,,,blazer,long sleeve,,,Outerwear
11,Blue Quilted Blazer,,,,1.0,,,1,,1,2,,,,,,,,,,,,,12/28/19,0,TheRealReal/Sandro,Secondhand,,,blazer ,long sleeve,,,Outerwear
12,Striped Waterfall Blazer,,,2.0,,,,,,,,,,,,,,,,,,,,8/25/20,20,Instagram - H&M,Second ,,,blazer ,long sleeve ,,,Outerwear
13,White Blazer,1.0,,,,,,,,1,,,,,,,,,,2.0,,,,7/1/17,50,Nordstrom Rack,Fast Fashion,,,blazer,mid sleeve,,,Outerwear
